DATE,PEA,ELCCND,DO,PH,WTRTMP,댐수위,저수량,강우량,TMn_HS
2017-12-21,,95.1875,8.44375,7.166250000000001,7.600416666666667,93.31,130.17,0.0,
2017-12-22,,95.54166666666667,8.525416666666667,7.189166666666668,7.504166666666666,93.27,129.701,0.0,
2017-12-23,,96.0,8.695208333333333,7.178333333333334,7.40125,93.22,129.116,0.0,
2017-12-24,,96.0,8.717708333333333,7.180416666666667,7.329375,93.21,128.999,18.8,
2017-12-25,,96.85416666666667,9.21875,7.1866666666666665,7.22,93.18,128.649,0.0,
2017-12-26,,97.0,9.317708333333334,7.216666666666668,7.128333333333334,93.14,128.184,0.0,0.254
2017-12-27,,97.0,9.516666666666667,7.229166666666667,6.979791666666667,93.09,127.603,0.0,
2017-12-28,,96.97916666666667,9.603958333333333,7.254375,6.7629166666666665,93.05,127.14,0.0,
2017-12-29,,96.95833333333333,9.731250000000001,7.2683333333333335,6.629166666666666,93.01,126.678,0.0,
2017-12-30,,97.0,9.745833333333334,7.2683333333333335,6.62,92.97,126.216,0.2,
2017-12-31,,97.0,9.745833333333334,7.2683333333333335,6.62,92.93,125.756,0.6,
2018-01-01,,97.0,9.745833333333334,7.2683333333333335,6.62,92.89,125.297,0.0,
2018-01-02,,97.0,9.75125,7.268888888888889,6.615972222222222,92.84,124.725,0.0,0.248
2018-01-03,,97.0,10.113333333333335,7.32,6.253333333333333,92.8,124.268,0.0,
2018-01-04,,97.0,10.198,7.343999999999999,6.134,92.75,123.698,0.0,
2018-01-05,,97.0,10.264,7.3420000000000005,6.0520000000000005,92.71,123.244,0.0,
2018-01-06,,97.0,10.336666666666666,7.353333333333334,5.996666666666667,92.66,122.677,0.0,
2018-01-07,,97.0,10.376666666666667,7.359999999999999,5.906666666666666,92.63,122.338,0.8,
2018-01-08,,97.0,10.405000000000001,7.375,5.84,92.59,121.887,2.9,0.232
2018-01-09,,97.0,10.479999999999999,7.366666666666667,5.7700000000000005,92.54,121.324,0.8,
2018-01-10,,97.0,10.516666666666666,7.359999999999999,5.696666666666666,92.51,120.987,5.3,
2018-01-11,,97.0,10.606666666666667,7.38,5.5633333333333335,92.47,120.538,0.0,
2018-01-12,,97.0,10.656666666666666,7.373333333333334,5.3999999999999995,92.42,119.979,0.0,
2018-01-13,,97.0,10.773333333333333,7.386666666666667,5.2,92.39,119.644,0.1,
2018-01-14,,97.0,10.793333333333335,7.386666666666667,5.11,92.33,118.976,0.5,
2018-01-15,,97.0,10.85,7.414285714285714,5.07,92.28,118.421,0.0,0.222
2018-01-16,,97.0,10.92,7.411428571428572,5.098571428571428,92.27,118.311,19.2,
2018-01-17,,97.0,10.83,7.42,5.0125,92.26,118.2,3.8,
